Post 1  ,4 April at 21:21,"Hello everyone!
Post 14  ,29 May 2020,,[None],['blob:https://www.facebook.com/039eab27-3db0-4fc8-9331-c659ae217abd']
Post 15  ,21 March 2020,,[],[]
Post 16  ,14 March 2020,,['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/89815557_3535001409859646_675187473319460864_n.png?_nc_cat=101&ccb=1-3&_nc_sid=730e14&_nc_ohc=LhMODdHVfuoAX8ikGzJ&_nc_ht=scontent.fbho5-1.fna&oh=e566752218b6d712055058597976d6a6&oe=609BC246'],[]
Post 17  ,22 February 2020,Sherlock season 5 and then Friends reunion!! Its finally happening!!,['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/87501981_2565504377020396_4135436817463771136_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8bfeb9&_nc_ohc=b1XJPpGjxNoAX-rYD_o&_nc_ht=scontent.fbho5-1.fna&oh=06dd6c76ce124081f32c54502bd02020&oe=609C679D'],[]
Post 18  ,11 February 2020,Stay Tuned! It's coming!!!,[None],['blob:https://www.facebook.com/39ddfa4a-855f-4799-bb37-fe2038a84e15']
Post 19  ,1 February 2020,"Gear up, as TEDxIITKharagpur is back with its 8th edition. Join us as we traverse through a journey of the culmination of experience, wisdom and inspiration. Stay tuned to this page for more updates.",['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/p843x403/84710337_3432792713413850_421341415633584128_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=730e14&_nc_ohc=OT5X0EuEyZ4AX8VFAxS&_nc_oc=AQmPXYTX1yGff09-cnH6yCpr3d1oqCB2K8qrBzfJQ6FlWwqTHO0gGvLAdUZD4aUT7JY&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=7cfe735a422d2a17ab7d9d8d1d6a0ce4&oe=609C2E27'],[]
Post 20  ,2 January 2020,"Five Principles of Extraordinary Math Teaching | Dan Finkel | TEDxRainier
""Not knowing is not a failure, it's the first step to understanding""
In this perspective-expanding and enjoyable talk, Dan Finkel invites us to approach learning and teaching math with courage, curiosity, and a sense of play.
Do watch this interesting talk by clicking on the link below.
https://youtu.be/ytVneQUA5-c",['https://external.fbho5-1.fna.fbcdn.net/safe_image.php?d=AQE40rBEuENV2V_d&w=500&h=261&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FytVneQUA5-c%2Fmaxresdefault.jpg&cfs=1&sx=0&sy=17&sw=1280&sh=668&ext=jpg&ccb=3-4&_nc_hash=AQGhbvTijODg-gvv'],[]
Post 21  ,6 December 2019,Oxygen at Rs 299 in Delhi ! End is near !,[None],['blob:https://www.facebook.com/e733ec4e-ef7c-4bd8-ae9a-9234baae8939']
Post 22  ,4 December 2019,Yo Kavish boii!!,[None],['blob:https://www.facebook.com/b7ec9632-5f1f-4648-99df-2a08d2124258']
Post 23  ,11 November 2019," This is not peace 
 Do read!",[],[]
